state: 85a6juxiocvwsk4fdl_7hybp#9gn3q2rtmze, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:0, enc:16
state: 85t6juxiacvwskofdl_74ybpq#hgn32r9mze, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:1, enc:26
state: 25t6ju8iacvwxkofdls74ybp_q#hgn3r9mze, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:2, enc:16
state: 25t6zu8iacjwxkofvls74ydpn_q#bg3r9mhe, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:3, enc:26
state: 2596zu8itcjwxkafvls7oydpgn4q#b3r_mhe, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:4, enc:16
state: 3596zu2itcjw8kafvlx7oydpsgn4q#br_mhe, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:5, enc:26
state: 3596hu2itczw8kafjlx7oyvp#sgndqbr_m4e, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:0, enc:16
state: 35_6hu2i9czw8ktfjlx7ayvpq#ogndbrsm4e, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:1, enc:26
state: b5_6hu3i9czw2ktfjl87ayvpxq#ogndrsm4e, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:2, enc:16
state: b5_64u3i9chw2ktfzl87ayjpnxq#vgdrsmoe, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:3, enc:26
state: b5s64u3i_chw2k9fzl87tyjpgnaq#vdrxmoe, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:4, enc:16
state: d5s64ubi_chw3k9fzl27tyjp8gnaq#vrxmoe, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:5, enc:26
state: d5s6oubi_c4w3k9fhl27tyzp#8gnjqvrxmae, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:0, enc:16
state: d5x6oubisc4w3k_fhl279yzpq#tgnjvr8mae, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:1, enc:26
state: v5x6oudisc4wbk_fhl379yzp2q#tgnjr8mae, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:2, enc:16
state: v5x6audiscowbk_f4l379yhpn2q#zgjr8mte, i1:3,j1:3,i2:3,j2:1, c_k:#, pr:4, pc:3, enc:26
state: v586audixcowbksf4l37_yhpgn9q#zjr2mte, i1:1,j1:5,i2:0,j2:3, c_k:#, pr:4, pc:4, enc:16
