#input generated from lc5 null-cleartext with key qr9h8gl2bsizvetf7jk#_4aucm3n56dopwxy;1;5
(-> converted to 32bit numbers by rejection sampling of 7 lc5-characters (0-35) )

cmrd@DESKTOP-EF5QNHV:~$ dieharder -a -g 201 -f output-qr9.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  output-qr9.bin|  2.39e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.60364939|  PASSED
      diehard_operm5|   0|   1000000|     100|0.16138810|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.45000798|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.20500577|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.24041605|  PASSED
        diehard_opso|   0|   2097152|     100|0.28474870|  PASSED
        diehard_oqso|   0|   2097152|     100|0.82304321|  PASSED
         diehard_dna|   0|   2097152|     100|0.03743485|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.07954316|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.60451226|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.00397352|   WEAK
    diehard_2dsphere|   2|      8000|     100|0.67218031|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.90337830|  PASSED
     diehard_squeeze|   0|    100000|     100|0.30150579|  PASSED
        diehard_sums|   0|       100|     100|0.12967320|  PASSED
        diehard_runs|   0|    100000|     100|0.63690044|  PASSED
        diehard_runs|   0|    100000|     100|0.76494662|  PASSED
       diehard_craps|   0|    200000|     100|0.79162492|  PASSED
       diehard_craps|   0|    200000|     100|0.31523366|  PASSED
# The file file_input_raw was rewound 2 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24915007|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.34378459|  PASSED
# The file file_input_raw was rewound 2 times
         sts_monobit|   1|    100000|     100|0.62617176|  PASSED
# The file file_input_raw was rewound 2 times
            sts_runs|   2|    100000|     100|0.77911334|  PASSED
# The file file_input_raw was rewound 2 times
          sts_serial|   1|    100000|     100|0.86875820|  PASSED
