cmrd@DESKTOP-EF5QNHV:~$ dieharder -a -g 201 -f sanity.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      sanity.bin|  1.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
# The file file_input_raw was rewound 3 times
   diehard_birthdays|   0|       100|     100|0.89650133|  PASSED
# The file file_input_raw was rewound 27 times
      diehard_operm5|   0|   1000000|     100|0.01585485|  PASSED
# The file file_input_raw was rewound 58 times
  diehard_rank_32x32|   0|     40000|     100|0.17409578|  PASSED
# The file file_input_raw was rewound 73 times
    diehard_rank_6x8|   0|    100000|     100|0.63973411|  PASSED
# The file file_input_raw was rewound 79 times
   diehard_bitstream|   0|   2097152|     100|0.01726224|  PASSED
# The file file_input_raw was rewound 131 times
        diehard_opso|   0|   2097152|     100|0.06462297|  PASSED
# The file file_input_raw was rewound 165 times
        diehard_oqso|   0|   2097152|     100|0.00011110|   WEAK
# The file file_input_raw was rewound 181 times
         diehard_dna|   0|   2097152|     100|0.54272409|  PASSED
# The file file_input_raw was rewound 182 times
diehard_count_1s_str|   0|    256000|     100|0.64704621|  PASSED
# The file file_input_raw was rewound 213 times
diehard_count_1s_byt|   0|    256000|     100|0.16687623|  PASSED
# The file file_input_raw was rewound 214 times
 diehard_parking_lot|   0|     12000|     100|0.69592283|  PASSED
# The file file_input_raw was rewound 214 times
    diehard_2dsphere|   2|      8000|     100|0.92008432|  PASSED
# The file file_input_raw was rewound 215 times
    diehard_3dsphere|   3|      4000|     100|0.26217235|  PASSED
# The file file_input_raw was rewound 271 times
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 271 times
        diehard_sums|   0|       100|     100|0.02994776|  PASSED
# The file file_input_raw was rewound 273 times
        diehard_runs|   0|    100000|     100|0.22035967|  PASSED
        diehard_runs|   0|    100000|     100|0.00020059|   WEAK
# The file file_input_raw was rewound 306 times
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED
       diehard_craps|   0|    200000|     100|0.00415640|   WEAK
# The file file_input_raw was rewound 794 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 796 times
         sts_monobit|   1|    100000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 798 times
            sts_runs|   2|    100000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 801 times
          sts_serial|   1|    100000|     100|0.00000000|  FAILED
          sts_serial|   2|    100000|     100|0.00000000|  FAILED
          sts_serial|   3|    100000|     100|0.00000000|  FAILED
          sts_serial|   3|    100000|     100|0.00000980|   WEAK
          sts_serial|   4|    100000|     100|0.00000000|  FAILED
          sts_serial|   4|    100000|     100|0.00163080|   WEAK
          sts_serial|   5|    100000|     100|0.00000000|  FAILED
          sts_serial|   5|    100000|     100|0.08792260|  PASSED
          sts_serial|   6|    100000|     100|0.00000000|  FAILED
          sts_serial|   6|    100000|     100|0.00158056|   WEAK
          sts_serial|   7|    100000|     100|0.00000000|  FAILED
          sts_serial|   7|    100000|     100|0.02133005|  PASSED
          sts_serial|   8|    100000|     100|0.00000000|  FAILED
          sts_serial|   8|    100000|     100|0.02486018|  PASSED
          sts_serial|   9|    100000|     100|0.00000067|  FAILED
          sts_serial|   9|    100000|     100|0.87030270|  PASSED
          sts_serial|  10|    100000|     100|0.00004622|   WEAK
          sts_serial|  10|    100000|     100|0.93938394|  PASSED
          sts_serial|  11|    100000|     100|0.00175682|   WEAK
          sts_serial|  11|    100000|     100|0.75713224|  PASSED
          sts_serial|  12|    100000|     100|0.00650157|  PASSED
          sts_serial|  12|    100000|     100|0.05808409|  PASSED
          sts_serial|  13|    100000|     100|0.01820216|  PASSED
          sts_serial|  13|    100000|     100|0.77070796|  PASSED
          sts_serial|  14|    100000|     100|0.40028445|  PASSED
          sts_serial|  14|    100000|     100|0.02578649|  PASSED
          sts_serial|  15|    100000|     100|0.08286306|  PASSED
          sts_serial|  15|    100000|     100|0.00131197|   WEAK
          sts_serial|  16|    100000|     100|0.67220968|  PASSED
          sts_serial|  16|    100000|     100|0.46977253|  PASSED
# The file file_input_raw was rewound 806 times
         rgb_bitdist|   1|    100000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 815 times
         rgb_bitdist|   2|    100000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 830 times
         rgb_bitdist|   3|    100000|     100|0.00157194|   WEAK
# The file file_input_raw was rewound 850 times
         rgb_bitdist|   4|    100000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 874 times
         rgb_bitdist|   5|    100000|     100|0.00032322|   WEAK
# The file file_input_raw was rewound 903 times
         rgb_bitdist|   6|    100000|     100|0.01359080|  PASSED
# The file file_input_raw was rewound 937 times
         rgb_bitdist|   7|    100000|     100|0.00347606|   WEAK
# The file file_input_raw was rewound 976 times
         rgb_bitdist|   8|    100000|     100|0.00001617|   WEAK
# The file file_input_raw was rewound 1020 times
         rgb_bitdist|   9|    100000|     100|0.48217013|  PASSED
# The file file_input_raw was rewound 1069 times
         rgb_bitdist|  10|    100000|     100|0.05865938|  PASSED
# The file file_input_raw was rewound 1123 times
         rgb_bitdist|  11|    100000|     100|0.14488904|  PASSED
# The file file_input_raw was rewound 1181 times
         rgb_bitdist|  12|    100000|     100|0.33908706|  PASSED
# The file file_input_raw was rewound 1186 times
rgb_minimum_distance|   2|     10000|    1000|0.04488147|  PASSED
# The file file_input_raw was rewound 1193 times
rgb_minimum_distance|   3|     10000|    1000|0.31139385|  PASSED
# The file file_input_raw was rewound 1203 times
rgb_minimum_distance|   4|     10000|    1000|0.00001112|   WEAK
# The file file_input_raw was rewound 1215 times
rgb_minimum_distance|   5|     10000|    1000|0.01642058|  PASSED
# The file file_input_raw was rewound 1220 times
    rgb_permutations|   2|    100000|     100|0.00003730|   WEAK
# The file file_input_raw was rewound 1228 times
    rgb_permutations|   3|    100000|     100|0.20629178|  PASSED
# The file file_input_raw was rewound 1237 times
    rgb_permutations|   4|    100000|     100|0.35399672|  PASSED
# The file file_input_raw was rewound 1249 times
    rgb_permutations|   5|    100000|     100|0.44309509|  PASSED
# The file file_input_raw was rewound 1274 times
      rgb_lagged_sum|   0|   1000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 1323 times
      rgb_lagged_sum|   1|   1000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 1396 times
      rgb_lagged_sum|   2|   1000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 1493 times
      rgb_lagged_sum|   3|   1000000|     100|0.00000000|  FAILED
^C
cmrd@DESKTOP-EF5QNHV:~$ dieharder -a -g 201 -f sanity.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      sanity.bin|  2.40e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
# The file file_input_raw was rewound 3 times
   diehard_birthdays|   0|       100|     100|0.19117306|  PASSED
# The file file_input_raw was rewound 27 times
      diehard_operm5|   0|   1000000|     100|0.00332386|   WEAK
# The file file_input_raw was rewound 59 times
  diehard_rank_32x32|   0|     40000|     100|0.07946367|  PASSED
# The file file_input_raw was rewound 73 times
    diehard_rank_6x8|   0|    100000|     100|0.00185087|   WEAK
# The file file_input_raw was rewound 80 times
   diehard_bitstream|   0|   2097152|     100|0.66669901|  PASSED
# The file file_input_raw was rewound 131 times
        diehard_opso|   0|   2097152|     100|0.00068645|   WEAK
# The file file_input_raw was rewound 165 times
        diehard_oqso|   0|   2097152|     100|0.06752602|  PASSED
# The file file_input_raw was rewound 181 times
         diehard_dna|   0|   2097152|     100|0.87709704|  PASSED
# The file file_input_raw was rewound 182 times
diehard_count_1s_str|   0|    256000|     100|0.16568370|  PASSED
# The file file_input_raw was rewound 214 times
diehard_count_1s_byt|   0|    256000|     100|0.00358452|   WEAK
# The file file_input_raw was rewound 214 times
 diehard_parking_lot|   0|     12000|     100|0.13229314|  PASSED
# The file file_input_raw was rewound 215 times
    diehard_2dsphere|   2|      8000|     100|0.66815338|  PASSED
# The file file_input_raw was rewound 215 times
    diehard_3dsphere|   3|      4000|     100|0.77152787|  PASSED
# The file file_input_raw was rewound 271 times
     diehard_squeeze|   0|    100000|     100|0.00017672|   WEAK
# The file file_input_raw was rewound 271 times
        diehard_sums|   0|       100|     100|0.00039622|   WEAK
# The file file_input_raw was rewound 274 times
        diehard_runs|   0|    100000|     100|0.20909397|  PASSED
        diehard_runs|   0|    100000|     100|0.04175984|  PASSED
# The file file_input_raw was rewound 307 times
       diehard_craps|   0|    200000|     100|0.00011374|   WEAK
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 795 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
# The file file_input_raw was rewound 797 times
         sts_monobit|   1|    100000|     100|0.18511525|  PASSED
# The file file_input_raw was rewound 800 times
            sts_runs|   2|    100000|     100|0.63578664|  PASSED
# The file file_input_raw was rewound 802 times
          sts_serial|   1|    100000|     100|0.07141533|  PASSED
          sts_serial|   2|    100000|     100|0.41869660|  PASSED
          sts_serial|   3|    100000|     100|0.34547073|  PASSED
          sts_serial|   3|    100000|     100|0.05871930|  PASSED
          sts_serial|   4|    100000|     100|0.48882724|  PASSED
          sts_serial|   4|    100000|     100|0.13924990|  PASSED
          sts_serial|   5|    100000|     100|0.31887156|  PASSED
          sts_serial|   5|    100000|     100|0.16117231|  PASSED
          sts_serial|   6|    100000|     100|0.02595930|  PASSED
          sts_serial|   6|    100000|     100|0.00341529|   WEAK
          sts_serial|   7|    100000|     100|0.00968190|  PASSED
          sts_serial|   7|    100000|     100|0.39917974|  PASSED
          sts_serial|   8|    100000|     100|0.16151467|  PASSED
          sts_serial|   8|    100000|     100|0.43996594|  PASSED
          sts_serial|   9|    100000|     100|0.03720376|  PASSED
          sts_serial|   9|    100000|     100|0.40914857|  PASSED
          sts_serial|  10|    100000|     100|0.36973503|  PASSED
          sts_serial|  10|    100000|     100|0.13131159|  PASSED
          sts_serial|  11|    100000|     100|0.66528873|  PASSED
          sts_serial|  11|    100000|     100|0.89322510|  PASSED
          sts_serial|  12|    100000|     100|0.40646995|  PASSED
          sts_serial|  12|    100000|     100|0.42890038|  PASSED
          sts_serial|  13|    100000|     100|0.53133642|  PASSED
          sts_serial|  13|    100000|     100|0.15097504|  PASSED
