#input generated from lc5 null-cleartext with key z2pnd39qm_aborv48st5fi67ucwxyeghj#lk;4;5
(-> converted to bytes by rejection sampling of 2 lc5-characters (0-35) )

cmrd@DESKTOP-EF5QNHV:~$ dieharder -a -g 201 -f output-z2p.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  output-z2p.bin|  2.38e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.18278367|  PASSED
      diehard_operm5|   0|   1000000|     100|0.58215866|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.30481276|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.98434990|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.00409853|   WEAK
        diehard_opso|   0|   2097152|     100|0.85243341|  PASSED
        diehard_oqso|   0|   2097152|     100|0.34676948|  PASSED
         diehard_dna|   0|   2097152|     100|0.40260265|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.99958414|   WEAK
diehard_count_1s_byt|   0|    256000|     100|0.44538104|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.43795973|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.69667281|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.61447607|  PASSED
     diehard_squeeze|   0|    100000|     100|0.01323045|  PASSED
        diehard_sums|   0|       100|     100|0.06376518|  PASSED
        diehard_runs|   0|    100000|     100|0.15153297|  PASSED
        diehard_runs|   0|    100000|     100|0.82298173|  PASSED
# The file file_input_raw was rewound 1 times
       diehard_craps|   0|    200000|     100|0.98521200|  PASSED
       diehard_craps|   0|    200000|     100|0.94034650|  PASSED
# The file file_input_raw was rewound 2 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51654255|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.59768951|  PASSED
# The file file_input_raw was rewound 2 times
         sts_monobit|   1|    100000|     100|0.15059850|  PASSED
# The file file_input_raw was rewound 2 times
            sts_runs|   2|    100000|     100|0.75003926|  PASSED
# The file file_input_raw was rewound 2 times
          sts_serial|   1|    100000|     100|0.69080342|  PASSED
          sts_serial|   2|    100000|     100|0.12799295|  PASSED
          sts_serial|   3|    100000|     100|0.86834241|  PASSED
          sts_serial|   3|    100000|     100|0.60779760|  PASSED
          sts_serial|   4|    100000|     100|0.36559527|  PASSED
